,topic,english,gujlish
2297,Discussing a new Bollywood movie,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
2298,Discussing a new Bollywood movie,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
2299,Discussing a new Bollywood movie,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
2300,Discussing a new Bollywood movie,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
2301,Discussing a new Bollywood movie,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
2302,Discussing a new Bollywood movie,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
2303,Discussing a new Bollywood movie,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
2304,Complaining about the Delhi traffic,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
2305,Complaining about the Delhi traffic,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
2306,Complaining about the Delhi traffic,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
2307,Complaining about the Delhi traffic,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
2308,Complaining about the Delhi traffic,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
2309,Complaining about the Delhi traffic,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
2310,Complaining about the Delhi traffic,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
2311,Complaining about the Delhi traffic,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
2312,Complaining about the Delhi traffic,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
2313,Complaining about the Delhi traffic,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
2314,Complaining about the Delhi traffic,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
2315,Complaining about the Delhi traffic,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
2316,Complaining about the Delhi traffic,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
2317,Complaining about the Delhi traffic,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
2318,Complaining about the Delhi traffic,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
2319,Complaining about the Delhi traffic,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
2320,Complaining about the Delhi traffic,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
2321,Complaining about the Delhi traffic,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
2322,Complaining about the Delhi traffic,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
2323,Complaining about the Delhi traffic,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
2324,Complaining about the Delhi traffic,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
2325,Complaining about the Delhi traffic,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
2326,Complaining about the Delhi traffic,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
2327,Complaining about the Delhi traffic,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
2328,Complaining about the Delhi traffic,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
2329,Complaining about the Delhi traffic,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
2330,Complaining about the Delhi traffic,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
2331,Complaining about the Delhi traffic,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
2332,Complaining about the Delhi traffic,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
2333,Complaining about the Delhi traffic,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
2334,Complaining about the Delhi traffic,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
2335,Complaining about the Delhi traffic,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
2336,Complaining about the Delhi traffic,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
2337,Complaining about the Delhi traffic,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
2338,Complaining about the Delhi traffic,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
2339,Complaining about the Delhi traffic,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
2340,Complaining about the Delhi traffic,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
2341,Complaining about the Delhi traffic,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
2342,Complaining about the Delhi traffic,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
2343,Complaining about the Delhi traffic,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
2344,Complaining about the Delhi traffic,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
2345,Complaining about the Delhi traffic,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
2346,Complaining about the Delhi traffic,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
2347,Complaining about the Delhi traffic,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
2348,Complaining about the Delhi traffic,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
2349,Complaining about the Delhi traffic,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
2350,Complaining about the Delhi traffic,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
2351,Complaining about the Delhi traffic,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
2352,Complaining about the Delhi traffic,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
2353,Complaining about the Delhi traffic,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
2354,Complaining about the Delhi traffic,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
2355,Complaining about the Delhi traffic,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
2356,Complaining about the Delhi traffic,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
2357,Complaining about the Delhi traffic,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
2358,Complaining about the Delhi traffic,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
2359,Complaining about the Delhi traffic,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
2360,Complaining about the Delhi traffic,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
2361,Complaining about the Delhi traffic,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
2362,Complaining about the Delhi traffic,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
2363,Complaining about the Delhi traffic,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
2364,Complaining about the Delhi traffic,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
2365,Complaining about the Delhi traffic,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
2366,Complaining about the Delhi traffic,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
2367,Complaining about the Delhi traffic,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
2368,Complaining about the Delhi traffic,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
2369,Complaining about the Delhi traffic,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
2370,Complaining about the Delhi traffic,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
2371,Complaining about the Delhi traffic,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
2372,Complaining about the Delhi traffic,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
2373,Complaining about the Delhi traffic,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
2374,Complaining about the Delhi traffic,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
2375,Complaining about the Delhi traffic,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
2376,Complaining about the Delhi traffic,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
2377,Complaining about the Delhi traffic,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
2378,Complaining about the Delhi traffic,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
2379,Complaining about the Delhi traffic,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
2380,Complaining about the Delhi traffic,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
2381,Complaining about the Delhi traffic,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
2382,Complaining about the Delhi traffic,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
2383,Complaining about the Delhi traffic,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
2384,Complaining about the Delhi traffic,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
2385,Complaining about the Delhi traffic,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
2386,Complaining about the Delhi traffic,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
2387,Complaining about the Delhi traffic,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
2388,Complaining about the Delhi traffic,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
2389,Complaining about the Delhi traffic,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
2390,Complaining about the Delhi traffic,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
2391,Complaining about the Delhi traffic,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
2392,Complaining about the Delhi traffic,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
2393,Complaining about the Delhi traffic,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
2394,Complaining about the Delhi traffic,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
2395,Complaining about the Delhi traffic,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
2396,Complaining about the Delhi traffic,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
2397,Complaining about the Delhi traffic,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
2398,Complaining about the Delhi traffic,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
2399,Complaining about the Delhi traffic,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
2400,Complaining about the Delhi traffic,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
2401,Complaining about the Delhi traffic,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
2402,Complaining about the Delhi traffic,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
2403,Complaining about the Delhi traffic,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
2404,Complaining about the Delhi traffic,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
2405,Complaining about the Delhi traffic,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
2406,Complaining about the Delhi traffic,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
2407,Complaining about the Delhi traffic,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
2408,Complaining about the Delhi traffic,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
2409,Complaining about the Delhi traffic,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
2410,Complaining about the Delhi traffic,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
2411,Complaining about the Delhi traffic,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
2412,Complaining about the Delhi traffic,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
2413,Complaining about the Delhi traffic,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
2414,Complaining about the Delhi traffic,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
2415,Complaining about the Delhi traffic,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
2416,Complaining about the Delhi traffic,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
2417,Complaining about the Delhi traffic,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
2418,Complaining about the Delhi traffic,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
2419,Complaining about the Delhi traffic,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
2420,Complaining about the Delhi traffic,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
2421,Complaining about the Delhi traffic,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
2422,Complaining about the Delhi traffic,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
2423,Complaining about the Delhi traffic,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
2424,Complaining about the Delhi traffic,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
2425,Complaining about the Delhi traffic,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
2426,Complaining about the Delhi traffic,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
2427,Complaining about the Delhi traffic,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
2428,Complaining about the Delhi traffic,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
2429,Complaining about the Delhi traffic,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
2430,Complaining about the Delhi traffic,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
2431,Complaining about the Delhi traffic,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
2432,Complaining about the Delhi traffic,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
2433,Complaining about the Delhi traffic,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
2434,Complaining about the Delhi traffic,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
2435,Complaining about the Delhi traffic,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
2436,Complaining about the Delhi traffic,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
2437,Complaining about the Delhi traffic,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
2438,Complaining about the Delhi traffic,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
2439,Complaining about the Delhi traffic,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
2440,Complaining about the Delhi traffic,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
2441,Complaining about the Delhi traffic,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
2442,Complaining about the Delhi traffic,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
2443,Complaining about the Delhi traffic,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
2444,Complaining about the Delhi traffic,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
2445,Complaining about the Delhi traffic,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
2446,Complaining about the Delhi traffic,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
2447,Complaining about the Delhi traffic,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
2448,Complaining about the Delhi traffic,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
2449,Complaining about the Delhi traffic,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
2450,Complaining about the Delhi traffic,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
2451,Complaining about the Delhi traffic,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
2452,Complaining about the Delhi traffic,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
2453,Complaining about the Delhi traffic,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
2454,Complaining about the Delhi traffic,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
2455,Complaining about the Delhi traffic,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
2456,Complaining about the Delhi traffic,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
2457,Complaining about the Delhi traffic,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
2458,Complaining about the Delhi traffic,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
2459,Complaining about the Delhi traffic,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
2460,Complaining about the Delhi traffic,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
2461,Complaining about the Delhi traffic,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
2462,Complaining about the Delhi traffic,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
2463,Complaining about the Delhi traffic,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
2464,Complaining about the Delhi traffic,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
2465,Complaining about the Delhi traffic,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
2466,Complaining about the Delhi traffic,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
2467,Complaining about the Delhi traffic,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
2468,Complaining about the Delhi traffic,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
2469,Complaining about the Delhi traffic,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
2470,Complaining about the Delhi traffic,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
2471,Complaining about the Delhi traffic,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
2472,Complaining about the Delhi traffic,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
2473,Complaining about the Delhi traffic,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
2474,Complaining about the Delhi traffic,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
2475,Complaining about the Delhi traffic,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
2476,Complaining about the Delhi traffic,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
2477,Complaining about the Delhi traffic,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
2478,Complaining about the Delhi traffic,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
2479,Complaining about the Delhi traffic,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
2480,Complaining about the Delhi traffic,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
2481,Complaining about the Delhi traffic,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
2482,Complaining about the Delhi traffic,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
2483,Complaining about the Delhi traffic,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
2484,Complaining about the Delhi traffic,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
2485,Complaining about the Delhi traffic,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
2486,Complaining about the Delhi traffic,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
2487,Complaining about the Delhi traffic,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
2488,Complaining about the Delhi traffic,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
2489,Complaining about the Delhi traffic,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
2490,Complaining about the Delhi traffic,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
2491,Complaining about the Delhi traffic,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
2492,Complaining about the Delhi traffic,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
2493,Complaining about the Delhi traffic,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
2494,Complaining about the Delhi traffic,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
2495,Complaining about the Delhi traffic,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
2496,Complaining about the Delhi traffic,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
2497,Complaining about the Delhi traffic,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
2498,Complaining about the Delhi traffic,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
2499,Complaining about the Delhi traffic,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
2500,Complaining about the Delhi traffic,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
2501,Complaining about the Delhi traffic,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
2502,Complaining about the Delhi traffic,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
2503,Complaining about the Delhi traffic,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
2504,Complaining about the Delhi traffic,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
2505,Complaining about the Delhi traffic,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
2506,Complaining about the Delhi traffic,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
2507,Complaining about the Delhi traffic,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
2508,Complaining about the Delhi traffic,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
2509,Complaining about the Delhi traffic,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
2510,Complaining about the Delhi traffic,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
2511,Complaining about the Delhi traffic,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
2512,Complaining about the Delhi traffic,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
2513,Complaining about the Delhi traffic,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
2514,Complaining about the Delhi traffic,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
2515,Complaining about the Delhi traffic,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
2516,Complaining about the Delhi traffic,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
2517,Complaining about the Delhi traffic,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
2518,Complaining about the Delhi traffic,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
2519,Complaining about the Delhi traffic,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
2520,Complaining about the Delhi traffic,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
2521,Complaining about the Delhi traffic,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
2522,Complaining about the Delhi traffic,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
2523,Complaining about the Delhi traffic,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
2524,Complaining about the Delhi traffic,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
2525,Complaining about the Delhi traffic,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
2526,Complaining about the Delhi traffic,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
2527,Complaining about the Delhi traffic,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
2528,Complaining about the Delhi traffic,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
2529,Complaining about the Delhi traffic,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
2530,Complaining about the Delhi traffic,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
2531,Complaining about the Delhi traffic,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
