,topic,gujlish,english
2117,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
2118,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
2119,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
2120,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
2121,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
2122,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
2123,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
2124,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
2125,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
2126,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
2127,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
2128,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
2129,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
2130,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
2131,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
2132,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
2133,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
2134,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
2135,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
2136,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
2137,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
2138,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
2139,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
2140,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
2141,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
2142,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
2143,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
2144,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
2145,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
2146,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
2147,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
2148,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
2149,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
2150,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
2151,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
2152,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
2153,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
2154,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
2155,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
2156,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
2157,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
2158,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
2159,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
2160,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
2161,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
2162,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
2163,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
2164,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
2165,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
2166,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
2167,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
2168,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
2169,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
2170,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
2171,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
2172,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
2173,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
2174,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
2175,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
2176,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
2177,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
2178,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
2179,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
2180,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
2181,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
2182,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
2183,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
2184,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
2185,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
2186,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
2187,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
2188,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
2189,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
2190,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
2191,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
2192,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
2193,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
2194,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
2195,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
2196,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
2197,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
2198,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
2199,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
2200,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
2201,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
2202,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
2203,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
2204,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
2205,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
2206,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
2207,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
2208,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
2209,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
2210,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
2211,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
2212,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
2213,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
2214,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
2215,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
2216,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
2217,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
2218,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
2219,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
2220,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
2221,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
2222,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
2223,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
2224,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
2225,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
2226,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
2227,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
2228,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
2229,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
2230,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
2231,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
2232,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
2233,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
2234,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
2235,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
2236,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
2237,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
2238,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
2239,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
2240,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
2241,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
2242,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
2243,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
2244,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
2245,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
2246,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
2247,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
2248,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
2249,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
2250,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
2251,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
2252,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
2253,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
2254,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
2255,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
2256,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
2257,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
2258,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
2259,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
2260,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
2261,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
2262,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
2263,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
2264,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
2265,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
2266,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
2267,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
2268,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
2269,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
2270,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
2271,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
2272,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
2273,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
2274,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
2275,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
2276,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
2277,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
2278,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
2279,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
2280,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
2281,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
2282,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
2283,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
2284,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
2285,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
2286,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
2287,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
2288,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
2289,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
2290,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
2291,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
2292,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
2293,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
2294,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
2295,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
2296,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
2297,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
2298,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
2299,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
2300,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
2301,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
2302,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
2303,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
2304,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
2305,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
2306,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
2307,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
2308,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
2309,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
2310,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
2311,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
2312,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
2313,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
2314,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
2315,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
2316,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
2317,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
2318,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
2319,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
2320,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
2321,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
2322,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
2323,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
2324,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
2325,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
2326,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
2327,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
2328,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
2329,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
2330,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
2331,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
2332,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
2333,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
2334,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
2335,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
2336,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
2337,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
2338,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
2339,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
2340,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
2341,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
2342,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
2343,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
2344,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
2345,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
2346,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
2347,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
2348,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
2349,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
2350,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
2351,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
2352,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
2353,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
2354,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
2355,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
2356,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
2357,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
2358,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
2359,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
2360,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
2361,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
2362,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
2363,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
2364,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
2365,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
2366,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
2367,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
2368,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
2369,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
2370,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
2371,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
2372,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
2373,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
2374,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
2375,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
2376,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
2377,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
2378,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
2379,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
2380,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
2381,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
2382,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
2383,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
2384,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
2385,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
2386,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
2387,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
2388,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
2389,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
2390,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
2391,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
2392,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
2393,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
2394,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
2395,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
2396,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
2397,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
2398,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
2399,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
2400,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
2401,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
2402,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
2403,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
2404,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
2405,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
2406,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
2407,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
2408,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
2409,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
2410,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
2411,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
2412,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
2413,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
